_id,cand_ana,tweet
592fccec0b09e72334d11a72,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d10642', '@592fcc950b09e72334d11118', 'itim', 'binay', 'lol']"
592fccec0b09e72334d11aa4,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d1111f', 'katabi', 'binay']"
592fccec0b09e72334d11ab0,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['candy', 'binay', 'candy', 'hahahaha']"
592fccec0b09e72334d11abd,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': 1, 'santiago': -1}","['@592fcc950b09e72334d11121', 'jejumar', 'binay']"
592fccec0b09e72334d11b0a,"{'binay': 0, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['binay', 'naman']"
592fccec0b09e72334d11b94,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['kaunaunahang', 'kanta', 'kinanta', 'sakin', 'binay']"
592fccec0b09e72334d11cd4,"{'binay': 4, 'duterte': 1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['pres', 'duterte', 'maglalabas', 'listahan', 'binayarang', 'media']"
592fccec0b09e72334d11dc8,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['countries', 'reaction', 'philippine', 'presidentiables', 'binay', 'looked', 'like', 'yoda', 'star', 'wars']"
592fccec0b09e72334d11df3,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d1118a', 'binay', 'haha']"
592fccec0b09e72334d11e26,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d1118f', 'binay', 'binay']"
592fccec0b09e72334d11f13,"{'binay': 6, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d111b8', '@592fcc950b09e72334d0efca', '@592fcc950b09e72334d1115c', '@592fcc950b09e72334d0f2e0', 'think', 'like', 'binay', 'makati']"
592fccec0b09e72334d11f14,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d111b9', 'binay', 'lol', 'hahahaha', 'sakto', '?']"
592fccec0b09e72334d11f16,"{'binay': 9, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['reading', 'news', 'item', 'columns', 'daily', 'tribune', 'concluded', 'moved', 'defeat', 'binay']"
592fccec0b09e72334d11f4c,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': 4, 'santiago': -1}","['@592fcc950b09e72334d0f2e0', 'totoo', 'yan', 'kasabay', 'jejomar', 'binay', 'nanay', 'activist', 'time', 'marcos', 'tatay', 'marcos', 'cronies', 'kaya', 'ugali']"
592fccec0b09e72334d11f62,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['parang', 'binay', 'hahahahaha', 'indayyyy', 'elnella', 'onasapjunetastic']"
592fccec0b09e72334d11f70,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['nakasalubong', 'former', 'binay', 'church', 'kanina', 'smiled', 'smiled', 'naman', '??']"
592fccec0b09e72334d11f8d,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['parang', 'binay', 'hahahahaha', 'indayyyy', 'elnella', 'onasapjunetastic']"
592fccec0b09e72334d11fad,"{'binay': 0, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['binay', 'huhu']"
592fccec0b09e72334d12012,"{'binay': 5, 'duterte': -1, 'poe': 3, 'roxas': -1, 'santiago': 4}","['sana', 'next', 'week', 'poe', 'miriam', 'binay', 'nmn', 'hehhehe', 'kapusobrigade']"
592fccec0b09e72334d12029,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d111ce', '@592fcc950b09e72334d111cf', 'nakota', 'binay', 'baka', 'sabihin', 'pang', 'yung', 'nawawala', 'kong', 'anak?']"
592fccec0b09e72334d12084,"{'binay': 4, 'duterte': 1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['pres', 'duterte', 'maglalabas', 'listahan', 'binayarang', 'media', 'excited']"
592fccec0b09e72334d1208a,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['gloc9', 'performd', 'binay', 'rally', 'last', 'election']"
592fccec0b09e72334d1211c,"{'binay': 7, 'duterte': 4, 'poe': -1, 'roxas': -1, 'santiago': -1}","['abs', 'cbn', 'forever', 'anti', 'duterte', 'heard', 'aquino', 'binay', 'administration', 'estrada', 'arroyo']"
592fccec0b09e72334d12144,"{'binay': 6, 'duterte': 9, 'poe': 5, 'roxas': 8, 'santiago': 7}","['single', 'group', 'monopoly', 'decency', 'could', 'grace', 'binay', 'miriam', 'mar', 'duterte', 'decent', 'decency']"
592fccec0b09e72334d121ab,"{'binay': 6, 'duterte': 9, 'poe': 5, 'roxas': 8, 'santiago': 7}","['single', 'group', 'monopoly', 'decency', 'could', 'grace', 'binay', 'miriam', 'mar', 'duterte', 'decent', 'decency']"
592fccec0b09e72334d122da,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['cayetano', 'effort', 'look', 'good', 'against', 'binay', 'completely', 'wiped', 'ran', 'wrong', 'president']"
592fccec0b09e72334d122e9,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['baby', 'binay', 'haha', 'happy', 'first', 'month', 'sauquillo', 'family', '?']"
592fcced0b09e72334d123e9,"{'binay': 7, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['hahahaha', 'sana', 'una', 'puso', 'yeol', 'parang', 'katulad', 'binay', 'only', 'rish']"
592fcced0b09e72334d1242b,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d11245', 'sus', 'etong', 'anak', 'binay', 'naman', 'wag', 'kanang', 'ganyan', 'love', 'kita']"
592fcced0b09e72334d12481,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['mood', 'happy', 'bright', 'dark', 'binay', 'real', 'quick']"
592fcced0b09e72334d125b2,"{'binay': 8, 'duterte': -1, 'poe': 7, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d1126a', '@592fcc950b09e72334d1126b', 'hayàn', 'nman', 'silent', 'majority', 'tinanggihan', 'grace', 'binay', 'uuto', 'naman']"
592fcced0b09e72334d125db,"{'binay': 0, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['binay', 'nachos', 'aiesec', 'chocolates', 'myka', 'tee']"
592fcced0b09e72334d1265c,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d1127f', 'support', 'support', 'binay', '?', 'hahaha', '?']"
592fcced0b09e72334d126a3,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['gantihan', 'lang', 'abigail', 'binay', 'filed', 'election', 'protest', 'against', 'kid', 'peña']"
592fcced0b09e72334d126ef,"{'binay': 6, 'duterte': 5, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d1117e', '@592fcc950b09e72334d11295', '@592fcc950b09e72334d11296', '@592fcc950b09e72334d11216', 'mistaken', 'duterte', 'binay']"
592fcced0b09e72334d1271f,"{'binay': 4, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d1129f', 'hoy', 'gago', 'respeto', 'binay']"
592fcced0b09e72334d12729,"{'binay': 10, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d112a3', '@592fcc950b09e72334d112a4', 'grabe', 'akin', 'ivy', 'ayaw', 'pinsan', 'kuya', 'jun', 'jun', 'binay', 'hahaha']"
592fcced0b09e72334d1274c,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['daryl', 'ong', 'binay', 'binay', '~', 'srys', 'daryl', 'ong', 'michael', 'constantino']"
