isn't,is not
isnt,is not
aren't,are not
arent,are not
wasn't,was not
wasnt,was not
weren't,were not
werent,were not
haven't,have not
havent,have not
hasn't,has not
hasnt,has not
hadn't,had not
hadnt,had not
won't,will not
wont,will not
wouldn't,would not
wouldnt,would not
don't,do not
dont,do not
doesn't,does not
doesnt,does not
didn't,did not
didnt,did not
can't,can not
cant,can not
couldn't,could not
couldnt,could not
shouldn't,should not
shouldnt,should not
mightn't,might not
mightnt,might not
mustn't,must not
mustnt,must not
oughtn't,ought not
oughtnt,ought not
shan't,shall not
shant,shall not
